"","Variable.code","Unit","Country.code","Country","Dataset_type","Classification","Classification.code","Definition","Sector.code","Description","Year","Value"
"118","GVA","Millions of current euros","FI","Finland","PREDICT 2017 Dataset","NACE Rev.2.","6203","a) ICT sector (comprehensive definition)","CB2-2-2","[11.2.2] Computer facilities management activities",2002,"-"
"119","GVA","Millions of current euros","FI","Finland","PREDICT 2017 Dataset","NACE Rev.2.","6203","a) ICT sector (comprehensive definition)","CB2-2-2","[11.2.2] Computer facilities management activities",2003,"-"
"120","GVA","Millions of current euros","FI","Finland","PREDICT 2017 Dataset","NACE Rev.2.","6203","a) ICT sector (comprehensive definition)","CB2-2-2","[11.2.2] Computer facilities management activities",2004,"-"
"121","GVA","Millions of current euros","FI","Finland","PREDICT 2017 Dataset","NACE Rev.2.","6203","a) ICT sector (comprehensive definition)","CB2-2-2","[11.2.2] Computer facilities management activities",2005,"-"
"122","GVA","Millions of current euros","FI","Finland","PREDICT 2017 Dataset","NACE Rev.2.","6203","a) ICT sector (comprehensive definition)","CB2-2-2","[11.2.2] Computer facilities management activities",2006,"-"
"123","GVA","Millions of current euros","FI","Finland","PREDICT 2017 Dataset","NACE Rev.2.","6203","a) ICT sector (comprehensive definition)","CB2-2-2","[11.2.2] Computer facilities management activities",2007,"-"
"124","GVA","Millions of current euros","FI","Finland","PREDICT 2017 Dataset","NACE Rev.2.","6203","a) ICT sector (comprehensive definition)","CB2-2-2","[11.2.2] Computer facilities management activities",2008,"751,164593578247"
"125","GVA","Millions of current euros","FI","Finland","PREDICT 2017 Dataset","NACE Rev.2.","6203","a) ICT sector (comprehensive definition)","CB2-2-2","[11.2.2] Computer facilities management activities",2009,"751,317566525855"
"126","GVA","Millions of current euros","FI","Finland","PREDICT 2017 Dataset","NACE Rev.2.","6203","a) ICT sector (comprehensive definition)","CB2-2-2","[11.2.2] Computer facilities management activities",2010,"758,337162446623"
"127","GVA","Millions of current euros","FI","Finland","PREDICT 2017 Dataset","NACE Rev.2.","6203","a) ICT sector (comprehensive definition)","CB2-2-2","[11.2.2] Computer facilities management activities",2011,"800,010741138561"
"128","GVA","Millions of current euros","FI","Finland","PREDICT 2017 Dataset","NACE Rev.2.","6203","a) ICT sector (comprehensive definition)","CB2-2-2","[11.2.2] Computer facilities management activities",2012,"860,705093585583"
"129","GVA","Millions of current euros","FI","Finland","PREDICT 2017 Dataset","NACE Rev.2.","6203","a) ICT sector (comprehensive definition)","CB2-2-2","[11.2.2] Computer facilities management activities",2013,"857,231668907303"
"130","GVA","Millions of current euros","FI","Finland","PREDICT 2017 Dataset","NACE Rev.2.","6203","a) ICT sector (comprehensive definition)","CB2-2-2","[11.2.2] Computer facilities management activities",2014,"865,696886388338"
"131","GVA","Millions of current euros","FI","Finland","Nowcasted Dataset","NACE Rev.2.","6203","a) ICT sector (comprehensive definition)","CB2-2-2","[11.2.2] Computer facilities management activities",2015,"-"
"132","GVA","Millions of current euros","FI","Finland","Nowcasted Dataset","NACE Rev.2.","6203","a) ICT sector (comprehensive definition)","CB2-2-2","[11.2.2] Computer facilities management activities",2016,"-"
"133","GVA","Millions of current euros","FI","Finland","PREDICT 2017 Dataset","NACE Rev.2.","6209","a) ICT sector (comprehensive definition)","CB2-3","[11.3] Other information technology and computer service activities",1995,"-"
